#{"t_start": 1777137662.928464, "env_id": "None"}
r,l,t
2440.440217,1346,13.573351
-193.64516,624,16.561604
196.472061,728,21.292922
221.818893,1019,29.059706
106.163454,432,35.833773
326.177309,803,40.874959
3059.800728,1496,49.530248
605.837644,858,55.866884
325.285532,891,67.293795
192.215912,836,72.865235
3129.772267,1551,127.115489
49.813679,864,132.604697
1048.113019,1622,146.654291
615.161617,763,151.687708
2687.667938,1490,160.739967
2423.701502,2135,177.710199
-195.456731,678,182.308221
746.812515,925,188.203994
41.379166,799,192.62299
1172.354737,1885,251.841068
2797.94312,1729,263.749142
1665.159456,2430,281.475932
-190.400743,728,287.264349
660.813796,1006,294.365761
1092.572464,1042,304.004214
2232.334834,1387,412.272788
3586.977791,3600,471.131602
2093.26122,1224,488.33787
1324.038522,859,502.149315
2132.121493,1150,526.489111
2635.163652,1604,549.361639
1846.765725,1115,565.000045
4340.848422,3600,804.504694
183.381718,1188,821.751683
397.066081,794,841.487849
461.4426,1018,855.602891
204.451887,880,868.320607
4936.484648,3600,1155.082753
-271.673173,662,1165.087211
-150.113329,705,1174.341344
2984.956822,2366,1216.178239
285.295338,1312,1235.582319
1849.540451,1433,1255.337482
2424.866925,2864,1547.13169
2209.359476,2326,1589.964926
7167.851032,3600,1652.514916
988.400913,2017,1681.679887
-393.008625,988,1694.729848
3666.18404,3600,2028.207076
