#{"t_start": 1776980703.8031917, "env_id": "None"}
r,l,t
1440.564379,466,16.588426
104.372827,2084,31.856007
-295.47782,597,36.417822
1757.220348,1061,52.702666
1411.008022,332,55.505826
1841.349798,1152,64.12244
831.292636,1363,75.091758
1461.948541,975,82.58063
2590.732437,1663,97.70138
1313.633796,1426,156.913852
2787.58082,2259,178.113529
1030.904229,1097,188.34313
853.032294,1636,201.234814
1166.657412,1187,212.878138
888.767672,1513,225.642504
1113.818151,690,230.966718
1130.13551,1022,303.698177
3216.711317,2814,326.365398
2904.334245,2597,354.619277
2215.025293,1905,370.073087
4197.100957,5123,493.004538
2073.484047,1815,508.072616
1052.320878,1272,519.929118
1446.128168,314,522.452931
3788.804719,4284,640.29613
732.300308,1913,660.415317
888.013101,1549,673.649157
3767.618902,7200,824.965419
3764.661663,7200,892.994261
2965.85012,7200,1073.130565
1080.018639,2089,1089.169574
3626.972168,7200,1261.171541
